iter	RMSE
0	1.145376092
1	1.106081607
2	1.069643957
3	1.032569643
4	1.001056675
5	0.9672766655
6	0.9366891228
7	0.9053379671
8	0.8762589346
9	0.8466634342
10	0.8193440425
11	0.7935659384
12	0.7680015724
13	0.7441875128
14	0.722755811
15	0.7000221859
16	0.6791584621
17	0.6596387608
18	0.6389775044
19	0.619743759
20	0.6014368949
21	0.5839326798
22	0.5670419596
23	0.5514987879
24	0.5351716827
25	0.5197927971
26	0.5067432222
27	0.4932788176
28	0.4798926985
29	0.4678871374
30	0.4561588436
31	0.4435947966
32	0.4325884268
33	0.4215464691
34	0.4113469524
35	0.4006481282
36	0.3907109637
37	0.3819171267
38	0.3728394736
39	0.3640742594
40	0.3560110543
41	0.3480699084
42	0.3403897382
43	0.3333877336
44	0.3266255964
45	0.320397883
46	0.3143470197
47	0.3083234587
48	0.3032044445
49	0.2975813835
50	0.2924667036
51	0.2871348045
52	0.2824092662
53	0.2775083024
54	0.2728064788
55	0.2688890276
56	0.2654788925
57	0.2614915432
58	0.2579168758
59	0.254337037
60	0.2511826666
61	0.2479993069
62	0.2448780833
63	0.241986624
64	0.2395450268
65	0.2367948165
66	0.2342619046
67	0.2317425271
68	0.2295646968
69	0.2275177484
70	0.2256857248
71	0.223660065
72	0.2217736052
73	0.2202813727
74	0.2186813959
75	0.2171481634
76	0.21575191
77	0.2142977102
78	0.2128147915
79	0.2115907716
80	0.2103273086
81	0.2093119176
82	0.2080146411
83	0.2068009024
84	0.2057972317
85	0.2048179195
86	0.2039196921
87	0.2030191349
88	0.2023334405
89	0.2015441768
90	0.2007102745
91	0.2000135877
92	0.1993533421
93	0.198686158
94	0.1978824654
95	0.1971316093
96	0.1963191272
97	0.1956780288
98	0.1951170801
99	0.1946341099
100	0.1941203615
101	0.1934723185
102	0.1930006061
103	0.1924997073
104	0.1920529357
105	0.191644611
106	0.1909170287
107	0.1905374628
108	0.1901220912
109	0.189584509
110	0.1891334197
111	0.1886962271
112	0.1882506567
113	0.1879044837
114	0.1875502845
115	0.1871655685
116	0.1869283719
117	0.1865220963
118	0.1862005535
119	0.1859250693
120	0.185604998
121	0.185268959
122	0.1849694609
123	0.1846712432
124	0.1843965061
125	0.1841448321
126	0.1838210964
127	0.1834071429
128	0.1831762647
129	0.1830050695
130	0.1827005637
131	0.1823256116
132	0.1821612965
133	0.1817479997
134	0.1814234904
135	0.1812033114
136	0.180972927
137	0.1807374377
138	0.1804721866
139	0.180268979
140	0.1800454381
141	0.179775103
142	0.1796066599
143	0.1794394873
144	0.1791921736
145	0.1789769301
146	0.1787417803
147	0.1785474708
148	0.1782047044
149	0.1779389364
150	0.1777791619
151	0.1774986604
152	0.1773862223
153	0.1771652349
154	0.1769743674
155	0.1766831628
156	0.1764763105
157	0.1762341613
158	0.1761257172
159	0.1759955265
160	0.1758317953
161	0.1755396469
162	0.1753462583
163	0.17505523
164	0.1749146543
165	0.1747499675
166	0.1745766353
167	0.1743723143
168	0.1742206337
169	0.1740311283
170	0.1739042985
171	0.1737246134
172	0.1736247879
173	0.1733693387
174	0.173206425
175	0.1729702825
176	0.172834691
177	0.1727306593
178	0.1725661809
179	0.1724131351
180	0.1722403415
181	0.1718917077
182	0.1717736783
183	0.1715985667
184	0.1713193925
185	0.1711978202
186	0.1710806621
187	0.1710268909
188	0.1708493441
189	0.1706002522
190	0.1704443814
191	0.1701828734
192	0.170122429
193	0.1698887591
194	0.169704219
195	0.169351356
196	0.1692602604
197	0.1689235619
198	0.1688240135
199	0.1686459736
200	0.1684672557
201	0.1681201677
202	0.167967598
203	0.1676610113
204	0.1676187085
205	0.1674717444
206	0.1672201312
207	0.1671150346
208	0.1669053829
209	0.1668246308
210	0.1667384193
211	0.1666068276
212	0.1665178153
213	0.1664143928
214	0.1663004476
215	0.1662021721
216	0.1660815126
217	0.166021007
218	0.165820569
219	0.1656390471
220	0.1655180393
221	0.165297161
222	0.1652049769
223	0.165134439
224	0.1650180095
225	0.1648990769
226	0.164732704
227	0.1645694621
228	0.1644855959
229	0.1643747471
230	0.1642836746
231	0.1641424737
232	0.1639144219
233	0.1637792543
234	0.1636190165
235	0.1635307436
236	0.163277923
237	0.1631108002
238	0.1629255976
239	0.1627889325
240	0.1627246537
241	0.1626313401
242	0.1624741367
243	0.1623147479
244	0.1620255489
245	0.1619179902
246	0.1617374914
247	0.1617180554
248	0.1616613676
249	0.1614255402
250	0.1613211386
251	0.1612048859
252	0.1611743898
253	0.1608945037
254	0.1606958779
255	0.1604822738
