iter	Passed	Remaining
0	154	153996
1	156	78230
2	159	52891
3	161	40132
4	163	32461
5	164	27291
6	166	23603
7	167	20804
8	169	18639
9	170	16913
10	172	15512
11	174	14339
12	175	13334
13	177	12478
14	178	11749
15	180	11105
16	182	10537
17	183	10016
18	185	9555
19	186	9148
20	188	8776
21	189	8437
22	191	8131
23	192	7846
24	194	7586
25	196	7350
26	197	7128
27	199	6928
28	201	6735
29	202	6552
30	204	6381
31	205	6227
32	207	6090
33	209	5956
34	211	5832
35	213	5709
36	215	5598
37	216	5492
38	219	5397
39	221	5305
40	222	5213
41	225	5133
42	227	5052
43	228	4972
44	230	4895
45	232	4819
46	234	4745
47	235	4675
48	237	4602
49	238	4538
50	240	4474
51	242	4419
52	244	4360
53	245	4300
54	246	4242
55	248	4188
56	250	4136
57	251	4085
58	253	4035
59	254	3989
60	256	3942
61	257	3897
62	259	3853
63	260	3813
64	262	3770
65	263	3728
66	265	3691
67	266	3654
68	268	3617
69	269	3583
70	271	3549
71	272	3516
72	274	3482
73	275	3450
74	277	3419
75	278	3389
76	280	3361
77	282	3336
78	283	3307
79	285	3281
80	286	3255
81	288	3229
82	289	3203
83	291	3177
84	292	3151
85	294	3127
86	295	3104
87	297	3082
88	298	3059
89	300	3036
90	301	3014
91	303	2993
92	304	2972
93	306	2951
94	307	2930
95	309	2910
96	310	2889
97	312	2871
98	313	2856
99	315	2841
100	317	2827
101	319	2813
102	321	2797
103	322	2782
104	324	2764
105	325	2748
106	327	2733
107	329	2718
108	330	2703
109	332	2687
110	333	2672
111	335	2657
112	336	2643
113	338	2630
114	339	2615
115	341	2601
116	342	2587
117	344	2575
118	345	2561
119	347	2548
120	348	2534
121	350	2520
122	351	2508
123	353	2494
124	354	2481
125	356	2469
126	357	2457
127	358	2445
128	361	2437
129	362	2425
130	363	2413
131	365	2401
132	366	2390
133	368	2378
134	369	2368
135	371	2358
136	372	2347
137	374	2337
138	375	2328
139	377	2318
140	378	2307
141	380	2297
142	381	2287
143	383	2277
144	384	2269
145	386	2261
146	388	2253
147	389	2244
148	391	2237
149	393	2229
150	395	2221
151	396	2211
152	397	2203
153	399	2193
154	400	2184
155	402	2175
156	403	2167
157	405	2158
158	406	2150
159	408	2142
160	409	2134
161	411	2126
162	412	2117
163	413	2109
164	415	2102
165	417	2095
166	418	2087
167	420	2080
168	421	2073
169	423	2066
170	424	2059
171	426	2052
172	427	2044
173	429	2038
174	430	2031
175	432	2023
176	433	2016
177	435	2009
178	436	2002
179	438	1995
180	439	1990
181	441	1984
182	442	1977
183	445	1976
184	447	1970
185	448	1963
186	450	1957
187	451	1950
188	453	1944
189	454	1938
190	456	1934
191	458	1928
192	459	1922
193	461	1916
194	462	1910
195	464	1904
196	465	1898
197	467	1891
198	468	1886
199	470	1881
200	471	1876
201	473	1871
202	475	1865
203	476	1860
204	478	1855
205	479	1849
206	481	1843
207	482	1838
208	484	1832
209	485	1827
210	487	1822
211	489	1817
212	490	1812
213	492	1807
214	493	1802
215	495	1797
216	496	1793
217	498	1788
218	500	1783
219	502	1780
220	503	1775
221	505	1770
222	507	1766
223	508	1761
224	510	1756
225	511	1752
226	513	1747
227	514	1742
228	516	1739
229	518	1735
230	520	1731
231	521	1727
232	523	1723
233	525	1718
234	526	1714
235	528	1710
236	530	1706
237	531	1702
238	533	1698
239	535	1694
240	536	1690
241	538	1685
242	539	1680
243	540	1676
244	542	1671
245	543	1667
246	545	1663
247	547	1658
248	548	1654
249	550	1650
250	551	1646
251	553	1641
252	554	1637
253	556	1633
254	557	1630
255	559	1625
256	561	1624
257	563	1620
258	565	1616
259	566	1612
260	568	1609
261	569	1604
262	571	1601
263	572	1596
264	574	1592
265	575	1588
266	577	1584
267	578	1580
268	580	1576
269	581	1573
270	583	1568
271	584	1564
272	586	1560
273	587	1557
274	589	1553
275	590	1549
276	592	1545
277	593	1541
278	594	1537
279	596	1534
280	598	1530
281	599	1526
282	600	1522
283	602	1518
284	603	1515
285	605	1511
286	606	1507
287	608	1504
288	609	1500
289	611	1497
290	613	1493
291	614	1490
292	616	1487
293	617	1483
294	619	1480
295	620	1476
296	622	1472
297	623	1469
298	625	1466
299	626	1462
300	628	1458
301	629	1455
302	631	1452
303	632	1448
304	634	1445
305	635	1441
306	637	1438
307	638	1434
308	640	1431
309	641	1428
310	643	1424
311	644	1421
312	646	1418
313	647	1415
314	649	1412
315	651	1409
316	652	1406
317	654	1403
318	655	1399
319	657	1396
320	658	1393
321	660	1390
322	661	1386
323	663	1384
324	665	1381
325	666	1378
326	668	1375
327	669	1372
328	671	1369
329	672	1365
330	674	1362
331	675	1359
332	677	1356
333	678	1353
334	680	1350
335	682	1347
336	683	1344
337	685	1342
338	687	1340
339	689	1337
340	690	1335
341	692	1332
342	693	1329
343	695	1325
344	696	1322
345	698	1319
346	699	1316
347	701	1313
348	702	1310
349	704	1308
350	705	1305
351	707	1302
352	708	1298
353	710	1295
354	711	1292
355	712	1289
356	714	1286
357	715	1283
358	717	1280
359	718	1277
360	720	1275
361	722	1272
362	723	1269
363	725	1266
364	726	1263
365	727	1261
366	729	1258
367	730	1255
368	732	1252
369	733	1249
370	735	1246
371	736	1243
372	738	1240
373	739	1237
374	741	1235
375	742	1232
376	744	1229
377	745	1226
378	747	1224
379	748	1221
380	750	1218
381	751	1216
382	753	1213
383	754	1210
384	756	1208
385	757	1205
386	759	1202
387	760	1200
388	762	1197
